year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,Toni Vilander,Jeff Westphal,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Cooper MacNeil 3.Jeff Westphal | 2.Toni Vilander
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,66,GTLM,Ford Chip Ganassi Racing,Ford GT,Joey Hand,Dirk Mueller,Sebastien Bourdais,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Joey Hand 3.Sebastien Bourdais | 2.Dirk Mueller
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,Scott Dixon,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe 3.Scott Dixon | 2.Richard Westbrook
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,71,GTD,P1 Motorsports,Mercedes-AMG GT3,JC Perez,Maximilian Buhk,Fabian Schiller,,,P1 Motorsports Mercedes-AMG GT3 | GTD | 1.JC Perez 3.Fabian Schiller | 2.Maximilian Buhk
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,73,GTD,Park Place Motorsports,Porsche 911 GT3 R,Patrick Lindsey,Patrick Long,Nicholas Boulle,,,Park Place Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Lindsey 3.Nicholas Boulle | 2.Patrick Long
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,77,DPi,Mazda Team Joest,Mazda,Oliver Jarvis,Tristan Nunez,Timo Bernhard,,,Mazda Team Joest Mazda DPi | DPi | 1.Oliver Jarvis 3.Timo Bernhard | 2.Tristan Nunez
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,84,DPi,JDC-Miller MotorSports,Cadillac,Simon Trummer,Stephen Simpson,Chris Miller,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Simon Trummer 3.Chris Miller | 2.Stephen Simpson
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,85,DPi,JDC-Miller MotorSports,Cadillac,Misha Goikhberg,Tristan Vautier,Juan Piedrahita,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Misha Goikhberg 3.Juan Piedrahita | 2.Tristan Vautier
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,86,GTD,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Mario Farnbacher,Trent Hindman,Justin Marks,,,Meyer Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Mario Farnbacher 3.Justin Marks | 2.Trent Hindman
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Bill Auberlen,Robby Foley,Dillon Machavern,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Bill Auberlen 3.Dillon Machavern | 2.Robby Foley
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,911,GTLM,Porsche GT Team,Porsche RSR,Patrick Pilet,Nick Tandy,Frederic Makowiecki,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Patrick Pilet 3.Frederic Makowiecki | 2.Nick Tandy
2019,03_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2019-03-16,201903161040_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR,Earl Bamber,Laurens Vanthoor,Mathieu Jaminet,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Earl Bamber 3.Mathieu Jaminet | 2.Laurens Vanthoor
