year,event_code,event_name,track_slug,race_date,session_directory,table,check,status,value,detail
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,time_cards,rows,pass,2720,
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,time_cards,duplicate_car_lap_keys,pass,0,
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,time_cards,rows_without_car_header,pass,0,
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,time_cards,elapsed_delta_match_rate,pass,1.000000,2681/2681
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,time_cards,lap_number_gaps,pass,0,
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,analysis_by_lap,rows,pass,2720,
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,analysis_by_lap,duplicate_car_lap_keys,pass,0,
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,analysis_by_lap,unmatched_analysis_rows,pass,0,
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,analysis_by_lap,rows_without_lap_header,pass,0,
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,analysis_by_lap,time_card_key_coverage,pass,1.000000,2720/2720
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,analysis_by_lap,lap_time_match_rate,pass,1.000000,2720/2720
