year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,1,GTP,25,BMW M Team RLL,BMW M Hybrid V8,Sheldon van der Linde,1:35.868,169,221,,,133.684,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,2,GTP,24,BMW M Team RLL,BMW M Hybrid V8,Dries Vanthoor,1:35.977,3,246,0.109,0.109,133.532,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,3,GTP,6,Porsche Penske Motorsport,Porsche 963,Matt Campbell,1:36.061,271,293,0.193,0.084,133.415,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,4,GTP,7,Porsche Penske Motorsport,Porsche 963,Felipe Nasr,1:36.066,274,296,0.198,0.005,133.408,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,5,GTP,24,BMW M Team RLL,BMW M Hybrid V8,Kevin Magnussen,1:36.097,52,205,0.229,0.031,133.365,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,6,GTP,25,BMW M Team RLL,BMW M Hybrid V8,Marco Wittmann,1:36.144,113,136,0.276,0.047,133.300,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,7,GTP,93,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Alex Palou,1:36.168,146,201,0.300,0.024,133.267,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,8,GTP,25,BMW M Team RLL,BMW M Hybrid V8,Robin Frijns,1:36.176,159,217,0.308,0.008,133.255,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,9,GTP,60,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Tom Blomqvist,1:36.188,227,247,0.320,0.012,133.239,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,10,GTP,93,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Kaku Ohta,1:36.204,159,179,0.336,0.016,133.217,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,11,GTP,25,BMW M Team RLL,BMW M Hybrid V8,Rene Rast,1:36.233,101,203,0.365,0.029,133.177,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,12,GTP,60,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Colin Braun,1:36.233,102,177,0.365,0.000,133.177,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,13,GTP,7,Porsche Penske Motorsport,Porsche 963,Laurens Vanthoor,1:36.243,157,209,0.375,0.010,133.163,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,14,GTP,85,JDC Miller MotorSports,Porsche 963,Gianmaria Bruni,1:36.406,217,238,0.538,0.163,132.938,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,15,GTP,7,Porsche Penske Motorsport,Porsche 963,Nick Tandy,1:36.412,190,276,0.544,0.006,132.929,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,16,GTP,60,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Scott Dixon,1:36.423,159,221,0.555,0.011,132.914,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,17,GTP,10,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Will Stevens,1:36.449,104,229,0.581,0.026,132.878,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,18,GTP,31,Cadillac Whelen,Cadillac V-Series.R,Felipe Drugovich,1:36.498,5,189,0.630,0.049,132.811,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,19,GTP,6,Porsche Penske Motorsport,Porsche 963,Mathieu Jaminet,1:36.563,181,232,0.695,0.065,132.721,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,20,GTP,40,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Kamui Kobayashi,1:36.579,13,82,0.711,0.016,132.699,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,21,GTP,24,BMW M Team RLL,BMW M Hybrid V8,Philipp Eng,1:36.595,119,227,0.727,0.016,132.677,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,22,GTP,93,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Nick Yelloly,1:36.628,88,158,0.760,0.033,132.632,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,23,GTP,10,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Filipe Albuquerque,1:36.682,109,264,0.814,0.054,132.558,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,24,GTP,31,Cadillac Whelen,Cadillac V-Series.R,Jack Aitken,1:36.690,124,202,0.822,0.008,132.547,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,25,GTP,6,Porsche Penske Motorsport,Porsche 963,Kevin Estre,1:36.751,146,256,0.883,0.061,132.463,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,26,GTP,31,Cadillac Whelen,Cadillac V-Series.R,Frederik Vesti,1:36.764,102,155,0.896,0.013,132.446,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,27,GTP,31,Cadillac Whelen,Cadillac V-Series.R,Earl Bamber,1:36.914,9,185,1.046,0.150,132.241,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,28,GTP,24,BMW M Team RLL,BMW M Hybrid V8,Raffaele Marciello,1:36.918,59,102,1.050,0.004,132.235,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,29,GTP,5,Proton Competition,Porsche 963,Neel Jani,1:37.036,3,113,1.168,0.118,132.074,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,30,GTP,10,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Brendon Hartley,1:37.045,70,174,1.177,0.009,132.062,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,31,GTP,93,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Renger van der Zande,1:37.056,17,203,1.188,0.011,132.047,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,32,GTP,5,Proton Competition,Porsche 963,Julien Andlauer,1:37.232,100,110,1.364,0.176,131.808,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,33,GTP,85,JDC Miller MotorSports,Porsche 963,Tijmen van der Helm,1:37.256,152,196,1.388,0.024,131.776,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,34,GTP,60,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Felix Rosenqvist,1:37.293,114,136,1.425,0.037,131.726,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,35,GTP,10,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Ricky Taylor,1:37.427,64,113,1.559,0.134,131.544,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,36,GTP,40,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Jordan Taylor,1:37.442,56,81,1.574,0.015,131.524,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,37,GTP,85,JDC Miller MotorSports,Porsche 963,Pascal Wehrlein,1:37.491,72,204,1.623,0.049,131.458,06_Fastest Lap By Driver_Race.PDF,1
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,38,GTP,40,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Louis Deletraz,1:37.543,3,82,1.675,0.052,131.388,06_Fastest Lap By Driver_Race.PDF,2
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,39,GTP,5,Proton Competition,Porsche 963,Tristan Vautier,1:37.678,4,49,1.810,0.135,131.206,06_Fastest Lap By Driver_Race.PDF,2
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,40,GTP,5,Proton Competition,Porsche 963,Nico Pino,1:37.915,70,80,2.047,0.237,130.889,06_Fastest Lap By Driver_Race.PDF,2
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,41,GTP,85,JDC Miller MotorSports,Porsche 963,Bryce Aron,1:38.111,123,142,2.243,0.196,130.627,06_Fastest Lap By Driver_Race.PDF,2
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,42,GTP,63,Automobili Lamborghini Squadra Corse,Lamborghini SC63,Mirko Bortolotti,1:38.196,5,34,2.328,0.085,130.514,06_Fastest Lap By Driver_Race.PDF,2
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,43,LMP2,11,TDS RACING,ORECA LMP2 07,Mikkel Jensen,1:38.438,56,197,2.570,0.242,130.193,06_Fastest Lap By Driver_Race.PDF,2
