year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,1,1,Madison Snow,2:02.675,1:05.900,30.044,26.731,71.574,2:02.675,,,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,2,1,Madison Snow,1:50.703,29.389,38.196,43.118,79.314,3:53.378,110703,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,3,1,Madison Snow,2:08.816,42.936,36.302,49.578,68.162,6:02.194,128816,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,4,1,Madison Snow,1:56.766,50.334,39.471,26.961,75.196,7:58.960,116766,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,5,1,Madison Snow,1:24.859,29.120,29.215,26.524,103.470,9:23.819,84859,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,6,1,Madison Snow,1:24.882,29.177,29.154,26.551,103.442,10:48.701,84882,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,7,1,Madison Snow,1:43.271,29.672,38.515,35.084,85.022,12:31.972,103271,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,8,1,Madison Snow,2:07.468,43.695,44.922,38.851,68.882,14:39.440,127468,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,9,1,Madison Snow,2:02.972,36.400,36.276,50.296,71.401,16:42.412,122972,0,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,10,1,Madison Snow,2:09.817,1:03.320,36.323,30.174,67.636,18:52.229,129817,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,11,1,Madison Snow,2:41.995,58.318,53.037,50.640,54.201,21:34.224,161995,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,12,1,Madison Snow,2:00.217,55.137,38.459,26.621,73.037,23:34.441,120217,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,13,1,Madison Snow,1:24.954,29.239,29.161,26.554,103.354,24:59.395,84954,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,14,1,Madison Snow,1:24.901,29.108,29.164,26.629,103.419,26:24.296,84901,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,15,1,Madison Snow,1:25.267,29.392,29.229,26.646,102.975,27:49.563,85267,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,16,1,Madison Snow,1:25.269,29.285,29.181,26.803,102.972,29:14.832,85269,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,17,1,Madison Snow,1:25.002,29.165,29.198,26.639,103.296,30:39.834,85002,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,18,1,Madison Snow,1:25.431,29.064,29.481,26.886,102.777,32:05.265,85431,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,19,1,Madison Snow,1:25.261,29.224,29.318,26.719,102.982,33:30.526,85261,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,20,1,Madison Snow,1:25.114,29.235,29.288,26.591,103.160,34:55.640,85114,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,21,1,Madison Snow,1:26.157,29.738,29.681,26.738,101.911,36:21.797,86157,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,22,1,Madison Snow,1:25.972,29.359,29.876,26.737,102.130,37:47.769,85972,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,23,1,Madison Snow,1:25.897,29.694,29.466,26.737,102.219,39:13.666,85897,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,24,1,Madison Snow,1:25.354,29.133,29.438,26.783,102.870,40:39.020,85354,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,25,1,Madison Snow,1:26.121,29.283,29.985,26.853,101.953,42:05.141,86121,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,26,1,Madison Snow,1:25.661,29.184,29.742,26.735,102.501,43:30.802,85661,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,27,1,Madison Snow,1:26.802,29.505,30.345,26.952,101.154,44:57.604,86802,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,28,1,Madison Snow,1:25.957,29.533,29.538,26.886,102.148,46:23.561,85957,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,29,1,Madison Snow,1:25.865,29.485,29.603,26.777,102.257,47:49.426,85865,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,30,1,Madison Snow,1:25.497,29.349,29.443,26.705,102.698,49:14.923,85497,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,31,1,Madison Snow,1:25.421,29.415,29.330,26.676,102.789,50:40.344,85421,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,32,1,Madison Snow,1:25.427,29.216,29.460,26.751,102.782,52:05.771,85427,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,33,1,Madison Snow,1:26.039,29.353,29.832,26.854,102.051,53:31.810,86039,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,34,1,Madison Snow,1:25.968,29.394,29.643,26.931,102.135,54:57.778,85968,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,35,1,Madison Snow,1:25.615,29.221,29.581,26.813,102.556,56:23.393,85615,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,36,1,Madison Snow,1:25.858,29.326,29.530,27.002,102.266,57:49.251,85858,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,37,1,Madison Snow,1:25.419,29.217,29.384,26.818,102.791,59:14.670,85419,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,38,1,Madison Snow,1:25.746,29.326,29.543,26.877,102.399,1:00:40.416,85746,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,39,1,Madison Snow,1:27.071,29.466,29.812,27.793,100.841,1:02:07.487,87071,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,40,1,Madison Snow,1:27.495,30.727,29.836,26.932,100.352,1:03:34.982,87495,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,41,1,Madison Snow,1:26.722,29.556,30.108,27.058,101.247,1:05:01.704,86722,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,42,1,Madison Snow,1:26.797,29.717,29.779,27.301,101.159,1:06:28.501,86797,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,43,1,Madison Snow,1:26.248,29.612,29.725,26.911,101.803,1:07:54.749,86248,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,44,1,Madison Snow,1:28.372,29.666,31.343,27.363,99.357,1:09:23.121,88372,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,45,1,Madison Snow,1:27.985,30.731,30.013,27.241,99.794,1:10:51.106,87985,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,46,1,Madison Snow,1:28.131,29.654,31.082,27.395,99.628,1:12:19.237,88131,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,47,1,Madison Snow,1:29.667,30.738,31.179,27.750,97.922,1:13:48.904,89667,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,48,1,Madison Snow,1:28.450,29.939,30.666,27.845,99.269,1:15:17.354,88450,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,49,1,Madison Snow,1:27.992,30.054,30.082,27.856,99.786,1:16:45.346,87992,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,50,1,Madison Snow,1:28.227,30.171,30.349,27.707,99.520,1:18:13.573,88227,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,51,1,Madison Snow,1:29.022,30.416,30.842,27.764,98.631,1:19:42.595,89022,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,52,1,Madison Snow,1:48.375,30.685,30.481,47.209,81.018,1:21:30.970,108375,0,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,53,1,Madison Snow,2:31.409,1:33.279,30.692,27.438,57.991,1:24:02.379,151409,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,54,1,Madison Snow,1:45.547,30.186,39.795,35.566,83.189,1:25:47.926,105547,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,55,1,Madison Snow,1:52.233,42.926,38.203,31.104,78.233,1:27:40.159,112233,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,56,1,Madison Snow,1:34.563,32.606,32.731,29.226,92.852,1:29:14.722,94563,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,57,1,Madison Snow,1:49.403,32.032,36.543,40.828,80.257,1:31:04.125,109403,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,58,1,Madison Snow,2:13.388,44.813,38.879,49.696,65.825,1:33:17.513,133388,0,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,59,1,Madison Snow,2:00.464,1:00.962,31.655,27.847,72.887,1:35:17.977,120464,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,60,1,Madison Snow,1:31.031,29.802,32.817,28.412,96.454,1:36:49.008,91031,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,61,1,Madison Snow,1:26.337,29.822,29.629,26.886,101.698,1:38:15.345,86337,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,62,1,Madison Snow,1:42.991,29.669,31.868,41.454,85.253,1:39:58.336,102991,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,63,1,Madison Snow,1:59.356,51.634,39.962,27.760,73.564,1:41:57.692,119356,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,64,1,Madison Snow,1:26.928,29.852,29.652,27.424,101.007,1:43:24.620,86928,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,65,1,Madison Snow,1:26.874,30.175,30.014,26.685,101.070,1:44:51.494,86874,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,66,1,Madison Snow,1:24.896,29.089,29.189,26.618,103.425,1:46:16.390,84896,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,67,1,Madison Snow,1:24.964,29.060,29.267,26.637,103.342,1:47:41.354,84964,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,68,1,Madison Snow,1:25.051,29.106,29.345,26.600,103.236,1:49:06.405,85051,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,69,1,Madison Snow,1:35.624,29.093,32.697,33.834,91.821,1:50:42.029,95624,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,70,1,Madison Snow,1:42.039,36.529,33.051,32.459,86.049,1:52:24.068,102039,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,71,1,Madison Snow,2:23.014,36.500,53.295,53.219,61.395,1:54:47.082,143014,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,72,1,Madison Snow,2:38.251,53.321,54.658,50.272,55.483,1:57:25.333,158251,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,73,1,Madison Snow,2:27.345,49.386,45.680,52.279,59.590,1:59:52.678,147345,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,74,1,Madison Snow,1:51.945,48.344,37.056,26.545,78.434,2:01:44.623,111945,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,75,1,Madison Snow,1:24.989,29.100,29.215,26.674,103.311,2:03:09.612,84989,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,76,1,Madison Snow,1:25.150,29.326,29.268,26.556,103.116,2:04:34.762,85150,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,77,1,Madison Snow,1:25.579,29.295,29.571,26.713,102.599,2:06:00.341,85579,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,78,1,Madison Snow,1:26.896,29.937,30.211,26.748,101.044,2:07:27.237,86896,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,79,1,Madison Snow,1:25.809,29.430,29.632,26.747,102.324,2:08:53.046,85809,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,80,1,Madison Snow,1:25.799,29.492,29.502,26.805,102.336,2:10:18.845,85799,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,81,1,Madison Snow,1:26.485,29.692,29.821,26.972,101.524,2:11:45.330,86485,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,82,1,Madison Snow,1:26.363,29.436,29.801,27.126,101.668,2:13:11.693,86363,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,83,1,Madison Snow,1:28.775,29.734,30.875,28.166,98.905,2:14:40.468,88775,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,84,1,Madison Snow,1:29.017,31.018,30.343,27.656,98.637,2:16:09.485,89017,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,85,1,Madison Snow,1:25.460,29.333,29.408,26.719,102.742,2:17:34.945,85460,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,86,1,Madison Snow,1:26.141,29.439,29.980,26.722,101.930,2:19:01.086,86141,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,87,1,Madison Snow,1:25.982,29.754,29.436,26.792,102.118,2:20:27.068,85982,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,88,1,Madison Snow,1:45.163,29.292,29.378,46.493,83.493,2:22:12.231,105163,0,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,89,2,Neil Verhagen,2:24.276,1:18.895,35.717,29.664,60.858,2:24:36.507,144276,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,90,2,Neil Verhagen,2:01.400,40.070,50.530,30.800,72.326,2:26:37.907,121400,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,91,2,Neil Verhagen,1:31.568,31.316,32.117,28.135,95.889,2:28:09.475,91568,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,92,2,Neil Verhagen,1:32.319,30.506,31.719,30.094,95.109,2:29:41.794,92319,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,93,2,Neil Verhagen,1:35.300,35.374,31.371,28.555,92.134,2:31:17.094,95300,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,94,2,Neil Verhagen,1:45.119,30.558,34.083,40.478,83.527,2:33:02.213,105119,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,95,2,Neil Verhagen,2:09.865,39.759,45.083,45.023,67.611,2:35:12.078,129865,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,96,2,Neil Verhagen,2:24.106,51.104,50.799,42.203,60.929,2:37:36.184,144106,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,97,2,Neil Verhagen,1:56.153,45.274,42.463,28.416,75.593,2:39:32.337,116153,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,98,2,Neil Verhagen,1:26.144,29.211,30.055,26.878,101.926,2:40:58.481,86144,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,99,2,Neil Verhagen,1:24.649,28.935,29.175,26.539,103.726,2:42:23.130,84649,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,100,2,Neil Verhagen,1:24.663,29.000,29.156,26.507,103.709,2:43:47.793,84663,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,101,2,Neil Verhagen,1:24.786,28.912,29.256,26.618,103.559,2:45:12.579,84786,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,102,2,Neil Verhagen,1:25.122,29.093,29.277,26.752,103.150,2:46:37.701,85122,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,103,2,Neil Verhagen,1:24.944,28.906,29.232,26.806,103.366,2:48:02.645,84944,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,104,2,Neil Verhagen,1:25.302,29.124,29.461,26.717,102.932,2:49:27.947,85302,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,105,2,Neil Verhagen,1:25.418,29.199,29.453,26.766,102.793,2:50:53.365,85418,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,106,2,Neil Verhagen,1:25.337,29.197,29.387,26.753,102.890,2:52:18.702,85337,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,107,2,Neil Verhagen,1:26.084,29.273,29.518,27.293,101.997,2:53:44.786,86084,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,108,2,Neil Verhagen,1:26.183,29.492,29.477,27.214,101.880,2:55:10.969,86183,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,109,2,Neil Verhagen,1:25.791,29.309,29.661,26.821,102.346,2:56:36.760,85791,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,110,2,Neil Verhagen,1:25.760,29.328,29.479,26.953,102.383,2:58:02.520,85760,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,111,2,Neil Verhagen,1:26.355,29.658,29.752,26.945,101.677,2:59:28.875,86355,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,112,2,Neil Verhagen,1:26.146,29.475,29.806,26.865,101.924,3:00:55.021,86146,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,113,2,Neil Verhagen,1:26.038,29.369,29.826,26.843,102.052,3:02:21.059,86038,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,114,2,Neil Verhagen,1:26.720,29.594,30.032,27.094,101.249,3:03:47.779,86720,0,0,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,115,2,Neil Verhagen,1:25.390,29.198,29.437,26.755,102.826,3:05:13.169,85390,0,0,2
